N2(g)				// formula 
29.124				// Cp298  		
191.498  			// S298
8.67				// H298-H0   
0.1				// max. rel error  
0				// DfH298  
298.150 29.124 1
300.000 29.125 1
400.000 29.249 1
500.000 29.580 1
600.000 30.109 1
700.000 30.754 1
800.000 31.433 1
900.000 32.090 1
1000.000 32.696 1
1100.000 33.241 1
1200.000 33.723 1
1300.000 34.147 1
1400.000 34.517 1
1500.000 34.842 1
1600.000 35.127 1
1700.000 35.377 1
1800.000 35.598 1
1900.000 35.795 1
2000.000 35.969 1
2100.000 36.126 1
2200.000 36.267 1
2300.000 36.394 1
2400.000 36.509 1
2500.000 36.614 1
2600.000 36.710 1
2700.000 36.799 1
2800.000 36.881 1
2900.000 36.956 1
3000.000 37.027 1
3100.000 37.093 1
3200.000 37.155 1
3300.000 37.213 1
3400.000 37.268 1
3500.000 37.320 1
3600.000 37.369 1
3700.000 37.417 1
3800.000 37.462 1
3900.000 37.505 1
4000.000 37.547 1
4100.000 37.558 1
4200.000 37.628 1
4300.000 37.667 1
4400.000 37.705 1
4500.000 37.743 1
4600.000 37.780 1
4700.000 37.817 1
4800.000 37.855 1
4900.000 37.893 1
5000.000 37.931 1
5100.000 37.971 1
5200.000 38.011 1
5300.000 38.053 1
5400.000 38.096 1
5500.000 38.141 1
5600.000 38.188 1
5700.000 38.238 1
5800.000 38.291 1
5900.000 38.346 1
6000.000 38.405 1
6200.000 38.534 1
6400.000 38.680 1
6600.000 38.846 1
6800.000 39.035 1
7000.000 39.249 1
7200.000 39.491 1
7400.000 39.763 1
7600.000 40.068 1
7800.000 40.407 1
8000.000 40.784 1
8200.000 41.198 1
8400.000 41.652 1
8600.000 42.146 1
8800.000 42.681 1
9000.000 43.257 1
9200.000 43.874 1
9400.000 44.531 1
9600.000 45.227 1
9800.000 45.959 1
10000.000 46.727 1
10500.000 48.780 1
11000.000 50.984 1
11500.000 53.273 1
12000.000 55.574 1
12500.000 57.810 1
13000.000 59.907 1
13500.000 61.795 1
14000.000 63.420 1
14500.000 64.740 1
15000.000 65.728 1
15500.000 66.374 1
16000.000 66.684 1
16500.000 66.673 1
17000.000 66.368 1
17500.000 65.802 1
18000.000 65.010 1
18500.000 64.032 1
19000.000 62.903 1
19500.000 61.659 1
20000.000 60.331 1
